particle,step,energy,pos_x,pos_y,pos_z,cell,material,macro_total,d_coll,d_surf,event,hit_nuc,micro_el,micro_inel,micro_fis,micro_cap,out_energy,rng_xi
0,21,9.46493027e5,-4.67079163e-1,8.63832204e-2,-3.94184590e-1,3.00000000e0,2.00000000e0,3.35797181e-1,3.56440745e0,2.25059901e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,3.02123932e-1
0,22,9.46493027e5,-6.30000000e-1,-6.45224755e-2,-3.57630095e-1,3.00000000e0,2.00000000e0,3.35797181e-1,2.24602454e0,8.43349981e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,4.70382676e-1
0,23,9.46493027e5,-1.94990456e-2,-6.30000000e-1,-2.20652195e-1,3.00000000e0,2.00000000e0,3.35797181e-1,5.68884251e0,2.91119701e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,1.48036372e-1
0,24,9.46493027e5,1.91242480e-1,-4.34800311e-1,-1.73368188e-1,2.00000000e0,1.00000000e0,2.87905113e-1,4.66799571e0,3.14494696e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,2.60816070e-1
0,25,9.46493027e5,4.18905161e-1,-2.23927374e-1,-1.22287586e-1,3.00000000e0,2.00000000e0,3.35797181e-1,3.70671732e0,2.91607780e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,2.88025798e-1
0,26,9.46493027e5,6.30000000e-1,-2.84004286e-2,-7.49243064e-2,3.00000000e0,2.00000000e0,3.35797181e-1,1.63084737e0,2.40236530e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,5.78316519e-1
0,27,9.46493027e5,4.56092797e-1,1.32681408e-1,-3.59048039e-2,2.00000000e0,1.00000000e0,2.87905113e-1,1.74560717e0,1.52378591e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,6.04974343e-1
0,28,9.46493027e5,3.45785945e-1,2.34853313e-1,-1.11552916e-2,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,5.11661971e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,0.00000000e0
0,29,9.46493027e5,3.08746733e-1,2.69160944e-1,-2.84481580e-3,0.00000000e0,0.00000000e0,3.89123782e-1,6.02792864e0,8.83829802e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,9.57887158e-2
0,30,9.46493027e5,2.44766297e-1,3.28422930e-1,1.15104538e-2,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,5.11661971e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,0.00000000e0
