t_s,n,c1,c2,c3,c4,c5,c6,rho
4.100000e-1,4.678075e-1,1.986723e3,4.510235e3,1.075622e3,8.262136e2,5.888277e1,3.546290e0,-6.500000e-3
4.200000e-1,4.671372e-1,1.986592e3,4.509507e3,1.074999e3,8.249653e2,5.860204e1,3.518962e0,-6.500000e-3
4.300000e-1,4.664713e-1,1.986461e3,4.508778e3,1.074377e3,8.237189e2,5.832395e1,3.492334e0,-6.500000e-3
4.400000e-1,4.658096e-1,1.986330e3,4.508048e3,1.073754e3,8.224746e2,5.804846e1,3.466384e0,-6.500000e-3
4.500000e-1,4.651522e-1,1.986199e3,4.507318e3,1.073132e3,8.212322e2,5.777554e1,3.441095e0,-6.500000e-3
4.600000e-1,4.644990e-1,1.986067e3,4.506587e3,1.072509e3,8.199919e2,5.750518e1,3.416446e0,-6.500000e-3
4.700000e-1,4.638498e-1,1.985936e3,4.505855e3,1.071886e3,8.187535e2,5.723734e1,3.392419e0,-6.500000e-3
4.800000e-1,4.632047e-1,1.985804e3,4.505122e3,1.071263e3,8.175172e2,5.697201e1,3.368997e0,-6.500000e-3
4.900000e-1,4.625636e-1,1.985672e3,4.504389e3,1.070640e3,8.162829e2,5.670915e1,3.346163e0,-6.500000e-3
5.000000e-1,4.619264e-1,1.985540e3,4.503656e3,1.070016e3,8.150506e2,5.644874e1,3.323899e0,-6.500000e-3
5.100000e-1,4.612930e-1,1.985408e3,4.502921e3,1.069393e3,8.138204e2,5.619075e1,3.302190e0,-6.500000e-3
5.200000e-1,4.606635e-1,1.985276e3,4.502186e3,1.068770e3,8.125921e2,5.593517e1,3.281019e0,-6.500000e-3
5.300000e-1,4.600377e-1,1.985143e3,4.501450e3,1.068146e3,8.113659e2,5.568197e1,3.260372e0,-6.500000e-3
5.400000e-1,4.594156e-1,1.985010e3,4.500714e3,1.067523e3,8.101418e2,5.543112e1,3.240233e0,-6.500000e-3
5.500000e-1,4.587971e-1,1.984878e3,4.499977e3,1.066899e3,8.089196e2,5.518260e1,3.220588e0,-6.500000e-3
5.600000e-1,4.581822e-1,1.984745e3,4.499239e3,1.066276e3,8.076996e2,5.493638e1,3.201422e0,-6.500000e-3
5.700000e-1,4.575709e-1,1.984612e3,4.498501e3,1.065652e3,8.064815e2,5.469245e1,3.182723e0,-6.500000e-3
5.800000e-1,4.569630e-1,1.984479e3,4.497762e3,1.065028e3,8.052655e2,5.445079e1,3.164477e0,-6.500000e-3
5.900000e-1,4.563586e-1,1.984345e3,4.497023e3,1.064404e3,8.040516e2,5.421135e1,3.146671e0,-6.500000e-3
6.000000e-1,4.557576e-1,1.984212e3,4.496283e3,1.063781e3,8.028398e2,5.397414e1,3.129292e0,-6.500000e-3
6.100000e-1,4.551599e-1,1.984079e3,4.495542e3,1.063157e3,8.016299e2,5.373912e1,3.112330e0,-6.500000e-3
6.200000e-1,4.545656e-1,1.983945e3,4.494801e3,1.062533e3,8.004222e2,5.350627e1,3.095770e0,-6.500000e-3
6.300000e-1,4.539745e-1,1.983811e3,4.494059e3,1.061909e3,7.992165e2,5.327556e1,3.079604e0,-6.500000e-3
6.400000e-1,4.533866e-1,1.983677e3,4.493317e3,1.061285e3,7.980129e2,5.304699e1,3.063818e0,-6.500000e-3
6.500000e-1,4.528018e-1,1.983543e3,4.492574e3,1.060661e3,7.968113e2,5.282052e1,3.048403e0,-6.500000e-3
6.600000e-1,4.522202e-1,1.983409e3,4.491830e3,1.060037e3,7.956119e2,5.259614e1,3.033348e0,-6.500000e-3
6.700000e-1,4.516417e-1,1.983275e3,4.491086e3,1.059413e3,7.944145e2,5.237382e1,3.018642e0,-6.500000e-3
6.800000e-1,4.510663e-1,1.983140e3,4.490341e3,1.058789e3,7.932191e2,5.215354e1,3.004277e0,-6.500000e-3
6.900000e-1,4.504938e-1,1.983006e3,4.489596e3,1.058165e3,7.920259e2,5.193528e1,2.990242e0,-6.500000e-3
7.000000e-1,4.499243e-1,1.982871e3,4.488850e3,1.057541e3,7.908347e2,5.171903e1,2.976528e0,-6.500000e-3
7.100000e-1,4.493578e-1,1.982736e3,4.488103e3,1.056917e3,7.896456e2,5.150476e1,2.963127e0,-6.500000e-3
7.200000e-1,4.487941e-1,1.982601e3,4.487356e3,1.056293e3,7.884586e2,5.129245e1,2.950028e0,-6.500000e-3
7.300000e-1,4.482333e-1,1.982466e3,4.486609e3,1.055668e3,7.872736e2,5.108208e1,2.937225e0,-6.500000e-3
7.400000e-1,4.476753e-1,1.982331e3,4.485861e3,1.055044e3,7.860908e2,5.087363e1,2.924707e0,-6.500000e-3
7.500000e-1,4.471201e-1,1.982196e3,4.485112e3,1.054420e3,7.849100e2,5.066708e1,2.912469e0,-6.500000e-3
7.600000e-1,4.465676e-1,1.982060e3,4.484363e3,1.053796e3,7.837313e2,5.046242e1,2.900501e0,-6.500000e-3
7.700000e-1,4.460179e-1,1.981925e3,4.483613e3,1.053172e3,7.825548e2,5.025962e1,2.888796e0,-6.500000e-3
7.800000e-1,4.454708e-1,1.981789e3,4.482863e3,1.052548e3,7.813802e2,5.005867e1,2.877347e0,-6.500000e-3
7.900000e-1,4.449264e-1,1.981653e3,4.482112e3,1.051924e3,7.802078e2,4.985954e1,2.866147e0,-6.500000e-3
8.000000e-1,4.443847e-1,1.981517e3,4.481361e3,1.051301e3,7.790375e2,4.966222e1,2.855188e0,-6.500000e-3
8.100000e-1,4.438455e-1,1.981381e3,4.480609e3,1.050677e3,7.778693e2,4.946669e1,2.844464e0,-6.500000e-3
8.200000e-1,4.433088e-1,1.981245e3,4.479857e3,1.050053e3,7.767031e2,4.927293e1,2.833969e0,-6.500000e-3
