t_s,n,c1,c2,c3,c4,c5,c6,rho
4.200000e-1,2.290335e0,2.003714e3,4.605131e3,1.158045e3,9.980774e2,1.049577e2,1.033626e1,3.250000e-3
4.300000e-1,2.297048e0,2.004033e3,4.606902e3,1.159562e3,1.001137e3,1.056655e2,1.041163e1,3.250000e-3
4.400000e-1,2.303753e0,2.004352e3,4.608681e3,1.161085e3,1.004204e3,1.063708e2,1.048589e1,3.250000e-3
4.500000e-1,2.310450e0,2.004674e3,4.610469e3,1.162615e3,1.007280e3,1.070737e2,1.055906e1,3.250000e-3
4.600000e-1,2.317140e0,2.004996e3,4.612266e3,1.164151e3,1.010365e3,1.077741e2,1.063118e1,3.250000e-3
4.700000e-1,2.323822e0,2.005321e3,4.614072e3,1.165693e3,1.013458e3,1.084721e2,1.070227e1,3.250000e-3
4.800000e-1,2.330497e0,2.005647e3,4.615887e3,1.167242e3,1.016559e3,1.091678e2,1.077236e1,3.250000e-3
4.900000e-1,2.337166e0,2.005975e3,4.617710e3,1.168798e3,1.019669e3,1.098611e2,1.084149e1,3.250000e-3
5.000000e-1,2.343829e0,2.006304e3,4.619541e3,1.170359e3,1.022787e3,1.105520e2,1.090968e1,3.250000e-3
5.100000e-1,2.350485e0,2.006635e3,4.621382e3,1.171928e3,1.025913e3,1.112406e2,1.097695e1,3.250000e-3
5.200000e-1,2.357136e0,2.006968e3,4.623231e3,1.173502e3,1.029047e3,1.119269e2,1.104334e1,3.250000e-3
5.300000e-1,2.363782e0,2.007302e3,4.625088e3,1.175083e3,1.032190e3,1.126110e2,1.110886e1,3.250000e-3
5.400000e-1,2.370422e0,2.007638e3,4.626955e3,1.176671e3,1.035340e3,1.132927e2,1.117355e1,3.250000e-3
5.500000e-1,2.377057e0,2.007975e3,4.628830e3,1.178264e3,1.038499e3,1.139723e2,1.123742e1,3.250000e-3
5.600000e-1,2.383687e0,2.008314e3,4.630713e3,1.179865e3,1.041665e3,1.146496e2,1.130051e1,3.250000e-3
5.700000e-1,2.390313e0,2.008654e3,4.632605e3,1.181471e3,1.044840e3,1.153247e2,1.136283e1,3.250000e-3
