case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-met-fast-003_case-8,PASS,0.998376,0.000112,1.000000,0.005000,-162.4,1000.3,0.325,k_eff_reference (ICSBEP handbook),37.21,5,150,30,20000,
heu-met-fast-003_case-9,PASS,0.998710,0.000220,1.000000,0.005000,-129.0,1001.0,0.258,k_eff_reference (ICSBEP handbook),47.45,5,150,30,20000,
heu-met-fast-004_case-1,PASS,1.001580,0.000247,1.002000,0.000000,-42.0,150.0,1.700,k_eff_reference (ICSBEP handbook),159.84,5,150,30,20000,
heu-met-fast-008,PASS,0.994805,0.000295,0.995800,0.001600,-99.5,325.4,0.612,local_validation (OpenMC on this scene),61.61,5,150,30,20000,
heu-met-fast-009_case-1,PASS,0.998315,0.000147,0.999200,0.001500,-88.5,301.4,0.587,k_eff_reference (ICSBEP handbook),73.79,5,150,30,20000,
heu-met-fast-009_case-2,PASS,0.996758,0.000270,0.999200,0.001500,-244.2,304.8,1.602,k_eff_reference (ICSBEP handbook),71.59,5,150,30,20000,
heu-met-fast-011,FAIL,0.993102,0.000219,0.998900,0.001500,-579.8,303.2,3.825,k_eff_reference (ICSBEP handbook),160.04,5,150,30,20000,
heu-met-fast-012,PASS,0.997182,0.000400,0.999200,0.001800,-201.8,368.8,1.095,k_eff_reference (ICSBEP handbook),64.33,5,150,30,20000,
heu-met-fast-013,FAIL,0.995810,0.000316,0.999000,0.001500,-319.0,306.6,2.081,k_eff_reference (ICSBEP handbook),80.33,5,150,30,20000,
heu-met-fast-014,PASS,0.996503,0.000195,0.998900,0.001700,-239.7,342.2,1.401,k_eff_reference (ICSBEP handbook),71.64,5,150,30,20000,
heu-met-fast-015,FAIL,0.993819,0.000414,0.999600,0.001700,-578.1,349.9,3.304,k_eff_reference (ICSBEP handbook),39.39,5,150,30,20000,
heu-met-fast-018_case-2,PASS,0.998436,0.000609,1.000000,0.001400,-156.4,305.4,1.025,k_eff_reference (ICSBEP handbook),37.51,5,150,30,20000,
heu-met-fast-019_case-1,FAIL,1.006188,0.000574,1.000000,0.002800,618.8,571.7,2.165,k_eff_reference (ICSBEP handbook),64.08,5,150,30,20000,
heu-met-fast-019_case-2,FAIL,1.006338,0.000303,1.000000,0.002800,633.8,563.3,2.251,k_eff_reference (ICSBEP handbook),41.80,5,150,30,20000,
heu-met-fast-020_case-2,PASS,0.999625,0.000187,1.000000,0.002800,-37.5,561.2,0.134,k_eff_reference (ICSBEP handbook),40.33,5,150,30,20000,
heu-met-fast-021_case-2,PASS,0.995734,0.000252,1.000000,0.002400,-426.6,482.6,1.768,k_eff_reference (ICSBEP handbook),88.62,5,150,30,20000,
heu-met-fast-022_case-2,PASS,0.996421,0.000429,1.000000,0.001900,-357.9,389.6,1.837,k_eff_reference (ICSBEP handbook),45.37,5,150,30,20000,
heu-met-fast-027,PASS,0.999449,0.000578,1.000000,0.002500,-55.1,513.2,0.215,k_eff_reference (ICSBEP handbook),70.52,5,150,30,20000,
heu-met-fast-028,PASS,1.001772,0.000405,1.000000,0.003000,177.2,605.4,0.585,k_eff_reference (ICSBEP handbook),60.71,5,150,30,20000,
heu-met-fast-029,FAIL,1.004533,0.000451,1.000000,0.002000,453.3,410.1,2.211,k_eff_reference (ICSBEP handbook),78.99,5,150,30,20000,
heu-met-fast-032_case-1,FAIL,1.003825,0.000388,1.000000,0.001600,382.5,329.3,2.323,k_eff_reference (ICSBEP handbook),40.63,5,150,30,20000,
heu-met-fast-032_case-2,PASS,1.003084,0.000089,1.000000,0.002700,308.4,540.3,1.142,k_eff_reference (ICSBEP handbook),38.15,5,150,30,20000,
heu-met-fast-032_case-3,PASS,0.999068,0.000319,1.000000,0.001700,-93.2,345.9,0.539,k_eff_reference (ICSBEP handbook),28.44,5,150,30,20000,
heu-met-fast-032_case-4,PASS,0.999648,0.000324,1.000000,0.001700,-35.2,346.1,0.203,k_eff_reference (ICSBEP handbook),24.26,5,150,30,20000,
heu-met-fast-034_case-1,FAIL,0.995164,0.000297,0.999000,0.001200,-383.6,247.3,3.103,k_eff_reference (ICSBEP handbook),65.58,5,150,30,20000,
heu-met-fast-034_case-2,PASS,0.997077,0.000498,0.999000,0.001200,-192.3,259.8,1.480,k_eff_reference (ICSBEP handbook),66.55,5,150,30,20000,
heu-met-fast-034_case-3,FAIL,0.996459,0.000385,0.999000,0.001200,-254.1,252.1,2.016,k_eff_reference (ICSBEP handbook),75.63,5,150,30,20000,
heu-met-fast-041_case-1,FAIL,1.009540,0.000362,1.001300,0.003000,824.0,604.4,2.727,k_eff_reference (ICSBEP handbook),26.60,5,150,30,20000,
heu-met-fast-041_case-2,PASS,1.008353,0.000318,1.002200,0.004300,615.3,862.4,1.427,k_eff_reference (ICSBEP handbook),42.62,5,150,30,20000,
heu-met-fast-041_case-3,PASS,1.000936,0.000168,1.000600,0.002900,33.6,581.0,0.116,k_eff_reference (ICSBEP handbook),24.71,5,150,30,20000,
heu-met-fast-041_case-4,FAIL,1.005846,0.000192,1.000600,0.002500,524.6,501.5,2.092,k_eff_reference (ICSBEP handbook),28.47,5,150,30,20000,
heu-met-fast-041_case-5,PASS,1.002719,0.000436,1.000600,0.003100,212.0,626.1,0.677,k_eff_reference (ICSBEP handbook),33.95,5,150,30,20000,
heu-met-fast-041_case-6,PASS,1.003905,0.000420,1.000600,0.004500,330.5,903.9,0.731,k_eff_reference (ICSBEP handbook),41.66,5,150,30,20000,
heu-met-fast-058_case-1,FAIL,1.005990,0.000285,1.000000,0.002500,599.0,503.2,2.380,k_eff_reference (ICSBEP handbook),87.97,5,150,30,20000,
heu-met-fast-058_case-2,FAIL,1.007777,0.000318,1.000000,0.003500,777.7,702.9,2.213,k_eff_reference (ICSBEP handbook),40.06,5,150,30,20000,
heu-met-fast-058_case-3,FAIL,1.006026,0.000271,1.000000,0.002700,602.6,542.7,2.221,k_eff_reference (ICSBEP handbook),31.99,5,150,30,20000,
heu-met-fast-058_case-4,PASS,1.003777,0.000232,1.000000,0.002100,377.7,422.6,1.788,k_eff_reference (ICSBEP handbook),29.23,5,150,30,20000,
heu-met-fast-058_case-5,PASS,1.003006,0.000279,1.000000,0.003300,300.6,662.4,0.908,k_eff_reference (ICSBEP handbook),27.80,5,150,30,20000,
heu-met-fast-066_case-1,PASS,1.006087,0.000210,1.003000,0.003300,308.7,661.3,0.933,k_eff_reference (ICSBEP handbook),40.18,5,150,30,20000,
heu-met-fast-066_case-2,PASS,1.003946,0.000219,1.002300,0.002900,164.6,581.7,0.566,k_eff_reference (ICSBEP handbook),32.87,5,150,30,20000,
heu-met-fast-066_case-3,PASS,1.007136,0.000207,1.002300,0.002600,483.6,521.6,1.854,k_eff_reference (ICSBEP handbook),30.69,5,150,30,20000,
heu-met-fast-066_case-4,PASS,1.007029,0.000532,1.004300,0.004300,272.9,866.6,0.630,k_eff_reference (ICSBEP handbook),56.22,5,150,30,20000,
heu-met-fast-066_case-5,PASS,1.006288,0.000308,1.003000,0.003300,328.8,662.9,0.992,k_eff_reference (ICSBEP handbook),38.74,5,150,30,20000,
heu-met-fast-066_case-6,PASS,1.005071,0.000492,1.002800,0.003000,227.1,608.0,0.747,k_eff_reference (ICSBEP handbook),34.16,5,150,30,20000,
heu-met-fast-066_case-7,PASS,1.007256,0.000217,1.004800,0.003900,245.6,781.2,0.629,k_eff_reference (ICSBEP handbook),38.82,5,150,30,20000,
heu-met-fast-066_case-8,PASS,1.006545,0.000123,1.003900,0.004000,264.5,800.4,0.661,k_eff_reference (ICSBEP handbook),47.59,5,150,30,20000,
heu-met-fast-066_case-9,PASS,1.003061,0.000331,1.002700,0.003600,36.1,723.0,0.100,k_eff_reference (ICSBEP handbook),35.93,5,150,30,20000,
heu-met-fast-069_case-1,PASS,0.998818,0.000358,0.999800,0.000400,-98.2,150.0,1.830,k_eff_reference (ICSBEP handbook),233.75,5,150,30,20000,
heu-met-fast-069_case-2,PASS,0.998400,0.000365,0.999400,0.000400,-100.0,150.0,1.847,k_eff_reference (ICSBEP handbook),25.81,5,150,30,20000,
heu-met-inter-006_case-1,FAIL,0.992462,0.000456,0.997700,0.000800,-523.8,184.2,5.688,k_eff_reference (ICSBEP handbook),196.84,5,150,35,20000,
heu-met-inter-006_case-2,FAIL,0.996120,0.000315,1.000100,0.000800,-398.0,172.0,4.628,k_eff_reference (ICSBEP handbook),183.15,5,150,35,20000,
heu-met-inter-006_case-3,PASS,1.000221,0.000401,1.001500,0.000900,-127.9,197.0,1.298,k_eff_reference (ICSBEP handbook),188.39,5,150,35,20000,
heu-met-inter-006_case-4,FAIL,1.006251,0.000488,1.001600,0.000800,465.1,187.4,4.964,k_eff_reference (ICSBEP handbook),197.06,5,150,35,20000,
